Queue,Entity,Transmission #,Instruction  #,Enter Queue,Exit Queue,Queue Time(Min)
mQ1_2,Transmission,     1,      0,     0.00,     0.12,     0.12, 
mQ2_3,Instruction,     1,      1,     6.62,     6.71,     0.09, 
Q3_Enter,Instruction,     1,      1,     7.71,     7.71,     0.00, 
mQ1_3,Transmission,     2,      0,    13.73,    13.85,     0.12, 
mQ2_8,Instruction,     2,      2,    17.60,    17.69,     0.09, 
Q3_Enter,Instruction,     2,      2,    18.69,    18.69,     0.00, 
mQ1_3,Transmission,     3,      0,    21.05,    21.17,     0.12, 
mQ2_6,Instruction,     3,      3,    24.92,    25.01,     0.09, 
Q3_Enter,Instruction,     3,      3,    26.01,    26.01,     0.00, 
mQ1_3,Transmission,     4,      0,    33.59,    33.71,     0.12, 
mQ2_4,Instruction,     4,      4,    40.21,    40.30,     0.09, 
Q3_Enter,Instruction,     4,      4,    41.30,    41.30,     0.00, 
mQ1_2,Transmission,     5,      0,    60.00,    60.12,     0.12, 
mQ2_3,Instruction,     5,      5,    66.62,    66.71,     0.09, 
Q3_Enter,Instruction,     5,      5,    67.71,    67.71,     0.00, 
Q5_Enter,Instruction,     5,      6,    69.62,    69.68,     0.06, 
mQ2_2,Instruction,     5,      6,    70.68,    70.77,     0.09, 
Q3_Enter,Instruction,     5,      6,    71.77,    71.77,     0.00, 
Q7_Enter,Instruction,     5,      6,    71.87,    71.96,     0.09, 
mQ2_2,Instruction,     5,      7,    72.62,    72.71,     0.09, 
Q14_Enter,Instruction,     5,      7,    73.71,    73.83,     0.12, 
Q3_Enter,Instruction,     5,      7,    74.83,    74.83,     0.00, 
mQ1_3,Transmission,     6,      0,    79.19,    79.31,     0.12, 
mQ2_3,Instruction,     6,      8,    85.81,    85.90,     0.09, 
Q6_Enter,Instruction,     6,      8,    86.90,    86.99,     0.09, 
Q3_Enter,Instruction,     6,      8,    87.99,    87.99,     0.00, 
mQ1_3,Transmission,     7,      0,    92.81,    92.93,     0.12, 
Q12_Enter,Transmission,     7,      0,    96.43,    96.43,     0.00, 
mQ1_4,Transmission,     8,      0,   120.00,   120.12,     0.12, 
Q4_Enter,Transmission,     8,      0,   120.62,   120.68,     0.06, 
mQ1_4,Transmission,     8,      0,   121.68,   121.80,     0.12, 
mQ2_7,Instruction,     8,      9,   125.05,   125.14,     0.09, 
mQ1_2,Transmission,     9,      0,   125.16,   125.28,     0.12, 
Q12_Enter,Transmission,     9,      0,   125.78,   125.78,     0.00, 
Q14_Enter,Instruction,     8,      9,   126.14,   126.26,     0.12, 
