0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	
0	5	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	
0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	3	0	0	
0	4	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	
0	11	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	
0	1	0	0	0	1	8	1	0	0	0	0	0	0	3	2	0	0	
0	10	0	0	0	4	0	2	0	0	0	0	0	0	1	0	0	0	
0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	5	0	0	
0	0	0	0	0	0	3	0	0	0	0	0	0	0	20	18	0	0	
0	9	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	
0	1	0	0	0	1	1	1	0	0	0	0	0	0	4	4	0	0	
0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	0	0	0	3	1	3	0	0	0	0	0	0	0	0	0	0	
0	2	0	0	0	8	1	4	0	0	0	0	0	0	1	0	0	0	
0	1	0	0	0	5	14	3	0	0	0	0	0	0	14	4	0	0	
0	1	0	0	0	2	7	5	0	0	0	0	0	0	5	6	0	0	
0	2	0	0	0	8	0	6	0	0	0	0	0	0	0	1	0	0	
0	6	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	6	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	
0	1	0	0	0	2	6	2	0	0	0	0	0	0	6	8	0	0	
0	0	0	0	0	3	0	12	0	0	0	0	0	0	0	0	0	0	
0	2	0	0	0	1	2	2	0	0	0	0	0	0	3	4	0	0	
0	1	0	0	0	1	4	2	0	0	0	0	0	0	3	3	0	0	
0	1	0	0	0	3	10	2	0	0	0	0	0	0	20	29	0	0	
0	1	0	0	0	2	10	2	0	0	0	0	0	0	14	11	0	0	
0	3	0	0	0	4	0	8	0	0	0	0	0	0	1	0	0	0	
0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	12	0	5	0	0	0	0	0	0	0	0	0	0	
0	1	0	0	0	1	6	3	0	0	0	0	0	0	4	3	0	0	
0	1	0	0	0	2	8	2	0	0	0	0	0	0	0	1	0	0	
0	1	0	0	0	1	3	6	0	0	0	0	0	0	17	12	0	0	
0	2	0	0	0	3	3	4	0	0	0	0	0	0	3	4	0	0	
0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	1	8	4	0	0	0	0	0	0	5	4	0	0	
